# AI Agent Memory Frameworks — repo list
# Format: github_url | layer | memory_class | architecture | license | maturity
# Used by the GitHub Actions workflow to fetch live stats + enrich with static metadata.

https://github.com/mem0ai/mem0           | Framework | Personalization + some institutional | Vector + Graph                   | Apache 2.0  | Production
https://github.com/hindsight-ai/hindsight| Framework | Both (strong institutional)          | Multi-strategy hybrid            | MIT         | Production
https://github.com/letta-ai/letta        | Framework | Both                                 | Tiered (OS-inspired)             | Apache 2.0  | Production
https://github.com/getzep/zep            | Framework | Both (temporal focus)                | Temporal knowledge graph         | Mixed       | Production
https://github.com/getzep/graphiti       | Framework | Both (temporal focus)                | Temporal knowledge graph         | Mixed       | Production
https://github.com/cognee-ai/cognee      | Framework | Institutional                        | Knowledge graph + vector         | Open core   | Production
https://github.com/supermemoryai/supermemory | Framework | Personalization + some institutional | Memory + RAG hybrid           | Proprietary | Production
https://github.com/langchain-ai/langmem  | Framework | Personalization                      | Key-value + vector               | MIT         | Production
https://github.com/run-llama/llama_index | Framework | Personalization                      | Composable buffers               | MIT         | Production
https://github.com/rohitg00/agentmemory  | Framework | Personalization + coding agents      | Hybrid (KG + vector + lifecycle) | Apache 2.0  | Emerging
https://github.com/MemPalace/mempalace   | Framework | Personalization (verbatim-heavy)     | Structured + vector (verbatim)   | MIT         | Emerging
https://github.com/memos-ai/memos        | Infra     | Both (shared systems)                | OS-style unified memory          | Apache 2.0  | Emerging
https://github.com/MehulG/memX           | Infra     | Personalization + infra              | Local-first (DB-style)           | MIT         | Emerging
https://github.com/memoria-ai/memoria    | Framework | Personalization + institutional      | Hybrid (KG + summarization)      | Research    | Emerging
https://github.com/microsoft/autogen     | Framework | Both (implicit memory)               | Agent + retrieval hybrid         | MIT         | Production
https://github.com/deepset-ai/haystack   | Framework | Institutional                        | RAG pipeline-based               | Apache 2.0  | Production
https://github.com/chroma-core/chroma    | Infra     | None (storage layer)                 | Vector database                  | Apache 2.0  | Production
https://github.com/memfactory-ai/memfactory | Research | Both                              | Policy-learning framework        | Research    | Research
https://github.com/alma-ai/alma          | Research  | Both                                 | Hybrid + agent learning          | MIT         | Experimental
https://github.com/genesys-ai/memory     | Research  | Institutional                        | Causal knowledge graph           | MIT         | Experimental
